resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,rank
1,18,1,1,22,1,1,1,1,10,58,34:50.6,5690616,2
2,18,2,2,3,5,2,2,2,8,58,5.478,5696094,3
3,18,3,3,7,7,3,3,3,6,58,8.163,5698779,5
4,18,4,4,5,11,4,4,4,5,58,17.181,5707797,7
5,18,5,1,23,3,5,5,5,4,58,18.014,5708630,1
6,18,6,3,8,13,6,6,6,3,57,0,0,14
7,18,7,5,14,17,7,7,7,2,55,0,0,12
8,18,8,6,1,15,8,8,8,1,53,0,0,4
9,18,9,2,4,2,0,0,9,0,47,0,0,9
10,18,10,7,12,18,0,0,10,0,43,0,0,13
11,18,11,8,18,19,0,0,11,0,32,0,0,15
12,18,12,4,6,20,0,0,12,0,30,0,0,16
13,18,13,6,2,4,0,0,13,0,29,0,0,6
14,18,14,9,9,8,0,0,14,0,25,0,0,11
15,18,15,7,11,6,0,0,15,0,19,0,0,10
16,18,16,10,20,22,0,0,16,0,8,0,0,17
17,18,17,9,10,14,0,0,17,0,0,0,0,0
18,18,18,11,16,12,0,0,18,0,0,0,0,0
19,18,19,8,19,21,0,0,19,0,0,0,0,0
20,18,20,5,15,9,0,0,20,0,0,0,0,0
21,18,21,10,21,16,0,0,21,0,0,0,0,0
22,18,22,11,17,10,0,0,22,0,58,0,0,8
23,19,8,6,1,2,1,1,1,10,56,31:18.6,5478555,2
24,19,9,2,4,4,2,2,2,8,56,19.57,5498125,6
25,19,5,1,23,8,3,3,3,6,56,38.45,5517005,7
26,19,15,7,11,3,4,4,4,5,56,45.832,5524387,8
27,19,1,1,22,9,5,5,5,4,56,46.548,5525103,3
28,19,2,2,3,5,6,6,6,3,56,49.833,5528388,1
29,19,17,9,10,6,7,7,7,2,56,+1:08.130,5546685,12
30,19,4,4,5,7,8,8,8,1,56,+1:10.041,5548596,10
31,19,14,9,9,12,9,9,9,0,56,+1:16.220,5554775,9
32,19,18,11,16,11,10,10,10,0,56,+1:26.214,5564769,4
33,19,12,4,6,13,11,11,11,0,56,+1:32.202,5570757,15
34,19,21,10,21,17,12,12,12,0,55,0,0,16
35,19,22,11,17,14,13,13,13,0,55,0,0,11
36,19,3,3,7,16,14,14,14,0,55,0,0,13
37,19,19,8,19,21,15,15,15,0,55,0,0,18
38,19,11,8,18,19,16,16,16,0,54,0,0,19
39,19,6,3,8,22,17,17,17,0,54,0,0,17
40,19,20,5,15,15,0,0,18,0,39,0,0,14
41,19,13,6,2,1,0,0,19,0,30,0,0,5
42,19,16,10,20,20,0,0,20,0,5,0,0,20
43,19,10,7,12,10,0,0,21,0,1,0,0,0
44,19,7,5,14,18,0,0,22,0,0,0,0,0
45,20,13,6,2,2,1,1,1,10,57,31:07.0,5466970,3
46,20,8,6,1,4,2,2,2,8,57,3.339,5470309,4
47,20,9,2,4,1,3,3,3,6,57,4.998,5471968,5
48,20,2,2,3,6,4,4,4,5,57,8.409,5475379,2
49,20,5,1,23,5,5,5,5,4,57,26.789,5493759,1
50,20,15,7,11,7,6,6,6,3,57,41.314,5508284,7
51,20,17,9,10,11,7,7,7,2,57,45.473,5512443,8
52,20,3,3,7,8,8,8,8,1,57,55.889,5522859,6
53,20,10,7,12,13,9,9,9,0,57,+1:09.500,5536470,9
54,20,4,4,5,10,10,10,10,0,57,+1:17.181,5544151,13
55,20,22,11,17,12,11,11,11,0,57,+1:17.862,5544832,10
56,20,21,10,21,18,12,12,12,0,56,0,0,11
57,20,1,1,22,3,13,13,13,0,56,0,0,19
58,20,6,3,8,16,14,14,14,0,56,0,0,17
59,20,7,5,14,15,15,15,15,0,56,0,0,15
60,20,19,8,19,21,16,16,16,0,56,0,0,14
61,20,11,8,18,22,17,17,17,0,56,0,0,20
62,20,14,9,9,17,18,18,18,0,56,0,0,16
63,20,16,10,20,20,19,19,19,0,56,0,0,18
